,Unnamed: 0,company,job_description,job_requirement,job_title,location,salary,salary_type,url
0,,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.," To collaborate with sales team and business development team to identify customer business needs, problems, objectives and business pains to plan and deliver targeted Artificial Intelligence (AI) solution demonstrations. Assist with customer RFP proposals by researching and providing RFP project responses. Arrange and conduct face-to-face client/ customer meetings as necessary to support pre-sales activities. Responsible for the overall architecture design and end to end solutioning for pre-sales Respond and provide pre-sales technical and functional support to prospective clients and customers while ensuring customer satisfaction. Communicate with key users and business decision makers and influencers related to AI solutions. Conduct the solution discovery session with prospects and customers. Manage and collaborate with consultant team, partner team, and contractor team during POC and projects. Design, develop, and deliver biometrics, presentation, demonstration, POC, and solutions for AI projects. Learn and develop expertise in solutions that enhance Certis Ops-Tech capabilities. ", Must possess at least a Bachelor's Degree in Computer Science or equivalent. Must have extensive knowledge and experience with artificial intelligence Must be able to communicate and collaborate with multiple stakeholders simultaneously effectively At least 10 years of experience in similar capacity or with relevant experience ,"Solutions Architect, Artificial Intelligence","CERTIS CISCO CENTRE, 20 JALAN AFIFI 409179","$8,500to$12,000",Monthly,https://www.mycareersfuture.sg/job/b012d86f754fefa2feee5d850fb240a1
1,,A*STAR RESEARCH ENTITIES,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of Artificial intelligence and deep learning, with an interest in working on both fundamental algorithms in large-scale machine learning or deep learning, and also applying it to practical problems in vertical domains. The position, based within the Program in Artificial Intelligence at I2R, entails working closely with a highly interdisciplinary team of researchers with training from leading universities like MIT, Stanford and CMU.  Listed below are problems of interest in the Deep Learning 2.0 project: Multimodal Deep Learning: Towards effective learning from heterogeneous data sources Currently, deep learning is applied in various areas such as visual computing, speech recognition, text mining, etc. In each area, the learning model is trained with large amounts of data in isolation. A multimodal learning approach from heterogeneous data sources, including video, speech, text, etc. is necessary to achieve breakthrough in performance.  Unsupervised Deep Learning: Towards 10X fewer labeled samples Labeling large amounts of training data is one of the most time-consuming steps in the deep learning pipeline, and is often not feasible.  The aim is to achieve the same performance with 10x fewer labeled training samples.  This is a strong step in the direction of unsupervised deep learning, where representations are learnt with large amounts of unlabeled unstructured data. Deep Learning on Embedded Devices: Towards 100X smaller models Current deep learning models have 10s of millions of neurons, making it infeasible for deployment on mobile and embedded hardware.  The aim is to achieve models that are 100x smaller, with little loss in performance. This capability will also be critical for emerging neuromorphic platforms, where the number of spiking neurons is orders of magnitude smaller than in current state-of-the-art deep learning models. Online Deep Learning: Towards Near Real Time (NRT) model updates State-of-the-art deep learning models still take several days to train on expensive GPU infrastructure. A common problem is when new data (including new classes) are constantly added to an evolving, always-learning system.  Algorithms to move towards real-time updates will be essential. Extreme Deep Learning: Training 1B neural networks efficiently The high model capacity of deep networks is why increasing amounts of data and model size improves performance.  However, there are substantial challenges in hardware and algorithms challenges in training very large models efficiently. The aim is to address these challenges to achieve more efficient training. Deep Learning for Spoken Language Processing and Natural Language Understanding: Towards better modeling of human communication Language technology has made great advances through deep learning in the past five years, penetrating fields such as speech recognition and machine translation. However, there are still numerous challenges that need to be addressed, ranging from the requirement of specialized linguistic resources to large amounts of annotated data, and to insufficient theoretical grounding in deep learning. This aim attempts to address challenges that are often overlooked by major commercial AI players. White-Box Deep Learning: Towards interpretable and contextually informed models Current deep learning models are largely black-boxes that are not informed by contextual relations and provide little intuition. Improved abilities to regulate the learning process, and interpret the resulting predictions will be essential for the next wave of AI applications -- especially for complex learning scenarios and applications involving critical decisions. Incorporating Knowledge Graphs into Deep Learning: Towards better understanding of images Current deep learning systems today have no real understanding of images, with output typically a bunch of bounding boxes, learnt using a large number of label or sentence-level associations. Knowledge graphs like the MIT ConceptNet will be used to understand higher-level semantics and relationships between entities, to improve classification accuracy."," Ph.D. in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas: 	 Large-scale machine learning Deep learning, supervised or unsupervised Applying state-of-the-art machine learning techniques to practical problems in different domains   Ability to work independently, as well as in teams highly desired Experience in corporate or application oriented environments Experience with one of Tensor Flow, Theano, Caffe, CNTK Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB) Computer vision and deep learning skills preferred Good communication skills for proposals, reports, and publications  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Scientist (Deep Learning 2.0)  /  I2R (A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/62761b90a1e3ad6f8cdc7c88c258a9f8
2,,A*STAR RESEARCH ENTITIES,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of ASIC/FPGA, Artificial Intelligence and deep learning, with an interest in working on design deep learning specific hardware chip and also applying it to practical problems such as car detention in autonomous vehicle. The position, based within the Program in Artificial Intelligence at I2R, entails working closely with a highly interdisciplinary team of researchers with training from leading universities at MIT, Stanford and CMU. Listed below are problems of interest in the Deep Leaming 2.0 hardware project: System Architecture Design for Deep Learning: Design an overall system, including an interface with the outside world (eg., HD video camera), a compiler framework, and an optimized computing architecture memory access bandwidth. RTL Design for Deep Learning:  Develop and debug RTL for specific deep learning algorithms including faster R-CNN with very deep ResNet as backbone, LSTM and 3D-CNN etc. Silicon/FPGA Design for Deep Learning: Silicon interface design and prototyping, Integrate the existing NN RTL into the Quartus toolchain and environment. Parameterize and adapt the NN to fit into FPGA. Add an RTL wrapper with the host-bridge and related buffing/flow-control. Develop front-end preprocessing on the ARM cores in the HPS part of the FPGA. Provide related CI/build tooling via GIT and validation automation. Add a DRAM/HBM memory interface to test at scale.   Deep Learning on Embedded Devices: Towards 100X smaller models Current deep learning models have10 s of millions of neurons, making it infeasible for deployment on mobile and embedded hardware. The aim is to achieve models that are I00x smaller, with little loss in performance. This capability will also be critical for emerging neuromorphic platforms, where the number of spiking neurons is orders of magnitude smaller than in current state-of-the-art deep learning models. Extreme Deep Learning: Training lB neural networks efficiently The high model capacity of deep networks is why increasing  amounts of data and model  size improves performance. However, there are substantial challenges in hardware and algorithms challenges in training very large models efficiently. The aim is to address these challenges to achieve more efficient training.  "," Minimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas: 	  Large-scale machine learning  Deep learning, supervised or unsupervised  Applying state-of-art machine learning techniques to practical problems in different domains   Experience in corporate or application orientated environments is a plus. Ability to work independently, as well as in teams highly desired.   Good communication skills for proposals, reports, and publications. Proficiency in spoken and written English. Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)  Computer vision and deep learning skills desirable  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Senior Research Engineer(DL2.0)  /  I2R (A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$3,400to$6,800",Monthly,https://www.mycareersfuture.sg/job/f46f67866c3ac6b043d8cd54fe85b296
3,,A*STAR RESEARCH ENTITIES,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of Artificial Intelligence and deep learning, with an interest in working on both fundamental algorithms in large-scale machine learning or deep learning, and also applying it to practical problems in vertical domains. The position, based within the Program in Artificial Intelligence at I2R, entails working closely with a highly interdisciplinary team of researchers with training from leading universities at MIT, Stanford and CMU. Listed below are problems of interest in the Deep Leaming 2.0 project: Deep learning application in AME (Semiconductor domain): Explore state-of-the-art deep learning technologies in Advance Manufacturing Engineering, especially in semiconductor industries. Including, but not limited to, yield analysis and prediction, predictive maintenance (PdM), advanced DoE analysis and prediction, etc. Medical Imaging Analysis: Combined with traditional medical imaging method, explore deep learning methods, such as segmentation, multiphase classification, etc., to improve the performance of disease detection, prediction, and treatment based on CT, X-Ray, etc. Multi-Target Deep Learning: Different branches or targets in a neutral network can enhance each other's performance. Compared with end-to-end deep neutral network, multi-target deep learn can handle multiple targets simultaneously and in this way, the speed, efficiency, and performance can be improved. Multimodal Deep Learning: Towards effective learning from heterogeneous data sources Currently, deep learning is applied in various areas such as visual computing, speech recognition, text mining, etc. In each area, the learning model is trained with large amounts of data in isolation. A multimodal learning approach from heterogeneous data sources, including video, speech, text, etc. is necessary to achieve breakthrough in performance. Incorporating Knowledge Graphs into Deep Learning: Towards better understanding of images Current deep learning systems today have no real understanding of images, with output typically a bunch of bounding boxes, learnt using a large number of label or sentence-level associations. Knowledge graphs like the MIT ConceptNet will be used to understand higher-level semantics and relationships between entities, to improve classification accuracy"," PhD in Computer Science, Statistics, Data Science intensive fields with expertise in one or more of the following areas:    Large-scale machine learning Deep learning, supervised or unsupervised Applying state-of-the-art machine learning techniques to practical problems in different domains   Experience in corporate or application oriented environments Experience with Tensor Flow, Theano, Caffe, CNTK skills Strong programming skills in Perl, Bash, C/C++, Java, Python, R, MATLAB Possess computer vision and deep learning skills Ability to work independently Team player Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Scientist (DL2.0 / SCD)  / I2R (A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/36862a245edeaadd48ae10e98b6d6481
4,,A*STAR RESEARCH ENTITIES,"The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg   The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional engineers to expand our dynamic and multi-disciplinary AI team. Our current team members have degrees in computer science, information systems, psychology, cognitive science and neuroscience from Berkeley, CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI. The goal of our programme is to develop next-generation AI technologies that will enable machines to:  Learn like humans (as a child would from instruction, demonstration, or experience with a small number of examples) Reason for humans (by being able to explain their reasoning, and to personalize recommendations based on their understanding of individual users) Deeply understand humans (using knowledge of human needs/motivations, social/cultural norms, and commonsense)  Our overarching technical approach is to combine various state-of-the-art techniques with top-down knowledge. Briefly, our current research topics include:  Personalized explainable AI: AI that is able to provide personalized explanations of the reasoning underlying its recommendations and decisions Socio-cultural visual intelligence: AI that can provide coherent descriptions of visual scenes taking context and social-cultural knowledge into account Socio-cultural understanding of speech and text: AI that can recognize figurative language, infer their social-cultural significance, and ultimately, understand meaning in speech and texts Human-like learning and Instructable AI: AI that can learn from real-world experience, and be programmed by non-experts, through verbal/text instruction and visual demonstrations Cognitive architectures: Cognitive architectures have the goal of bringing together the necessary cognitive machinery necessary for general artificial intelligence for autonomous behavior "," Bachelor’s degree in any AI-related field (E.g. Cognitive Science, Computer Science, Electrical Engineering, Human-Computer Interaction, Information Systems, Linguistics, Psychology, Software Engineering, etc.) Possess strong programming skills or other quantitative skills (E.g. Statistical Analysis) Experience in computer vision, image processing, multimedia, natural language processing, or machine learning  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Research Engineer (CHEEM / A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/c0271473014ea9d91382d25f3eb9dd5a
5,,A*STAR RESEARCH ENTITIES,"The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg The A*STAR Artificial Intelligence (AI) Programme is seeking exceptional researchers to expand our dynamic and multi-disciplinary AI team. Our current team members have PhDs in computer science, information systems, psychology, cognitive science and neuroscience from CMU, NTU, NUS, MIT, Princeton, Stanford, UCSD, UIUC, etc. We work on some of the most crucial, incredibly hard, and future-oriented problems in AI. The goal of our programme is to develop next-generation AI technologies that will enable machines to:  Learn like humans (as would a child from instruction, demonstration, or experience with a small number of examples) Reason for humans (by being able to explain their reasoning, and to personalize recommendations based on their understanding of individual users) Deeply understand humans (using knowledge of human needs/motivations, social/cultural norms, and commonsense)  Our overarching technical approach is to combine various state-of-the-art techniques with top-down knowledge. Briefly, our current research topics include:  Personalized explainable AI: AI that is able to provide personalized explanations of the reasoning underlying its recommendations and decisions Socio-cultural visual intelligence: AI that can provide coherent descriptions of visual scenes taking context and social-cultural knowledge into account Socio-cultural understanding of speech and text: AI that can recognize figurative language, infer their social-cultural significance, and ultimately, understanding meaning in speech and texts Human-like learning and Instructable AI: AI that can learn from real-world experience, and be programmed by non-experts, through verbal/text instruction and visual demonstrations Cognitive architectures: Cognitive architectures have the goal of bringing together the necessary cognitive machinery necessary for general artificial intelligence for autonomous behavior "," PhD in any AI-related field (E.g. cognitive science, computer vision, deep learning, information retrieval, knowledge representation, linguistics, machine learning, natural language processing, psychology, reasoning, robotics, etc.) Publications in top conferences/journals Possess strong programming skills or other quantitative skills (E.g. statistical analysis)  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Scientist (CHEEM / A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/ab36ca7cd12bbe6717c9d84b01d78433
6,,A*STAR RESEARCH ENTITIES,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong candidates in the field of Artificial intelligence and deep learning, with an interest in working on both fundamental algorithms in large-scale machine learning or deep learning, and also applying it to practical problems in vertical domains. Successful candidates will work closely with a highly interdisciplinary team of researchers with training from leading universities like MIT, Stanford and CMU. ​​Deep learning application in AME (Semiconductor domain): Explore state-of-the-art deep learning technologies in Advance Manufacturing Engineering, especially in semiconductor industries. Including, but not limited to, yield analysis and prediction, predictive maintenance (PdM), advanced DoE analysis and prediction, etc."," Minimum Bachelor in Computer Science, Statistics, Data Science intensive fields with expertise in one or more of the following areas: ​​ 	 Large-scale machine learning Deep learning, supervised or unsupervised Applying state-of-art machine learning techniques to practical problems in different domains   Experience in corporate or application oriented environments Experience with Tensor Flow, Theano, Caffe, CNTK skills Strong programming skills in Perl, Bash, C/C++, Java, Python, R, MATLAB Possess computer vision and deep learning skills Ability to work independently Team player Good communication skills for proposals, reports, and publications  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Research Engineer /  Senior Research Engineer (Deep Learning 2.0)  /  I2R,"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$5,700to$11,400",Monthly,https://www.mycareersfuture.sg/job/3641fcfdc108b2b7ea0ef73b9409ced0
7,,A*STAR RESEARCH ENTITIES,"The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg We are looking for a highly motivated scientist with strong research capabilities to work on and contribute to big data analytics, in particular to the development of algorithms for distributed data analytics, with an emphasis in the advanced manufacturing and engineering (AME) domain, including edge analytics, machine health analytics, and product quality analysis. Successful candidates will be involved in the execution of research projects to develop deep capabilities and technologies, upon which multiple industry projects will subsequently rely on as background IP. In addition, the candidate is also required to participate in the drafting of grant proposals and project scoping with industrial partners and/or public sector entities. Not confined to the AME domain, the candidate will be given opportunities to participate in projects that bring innovation to various economic sectors, including the adoption of artificial intelligence and related technologies to boost economic and industrial impact."," PhD in Computer Science, mathematics, statistics, operations research, or other related fields, with expertise in one or more following areas: Combinatorics, computational mathematics, distributed machine learning, graph mining, optimization. Minimum 1 year of relevant experience Very strong mathematical background Ability to work independently, to innovate and develop prototypes for demonstrating the feasibility of research ideas Proficient in Python, Matlab, or R Good team player with strong research ethics and a passion for impactful research Good interpersonal and communication skills Prior experience in computational geometry, especially dealing with hypergraphs, polytopes, or simplicial complexes, will be a big plus Prior experience in industry implementations of distributed algorithms is a plus  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Scientist (Data Analytics)  /  I²R (A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/f27b1ddf923410e8cfd8189d0291793f
8,,A*STAR RESEARCH ENTITIES,"About the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for strong software engineers that are interested in system development and technology applications in machine learning, natural language processing, human language technology and artificial intelligence. Successful candidate will conduct data analysis, model multi-modal data, and develop state-of-the-art human-machine interfaces."," Minimum Bachelor in Computer Science, Electrical and Computer Engineering or Machine Learning. Experience in one or more of the following areas is a plus: 	 Natural language processing Information retrieval Spoken language processing Dialogue modeling   Experience in corporate or application oriented environments is a plus Strong programming and scripting abilities (e. g. Perl, Bash, C/C++, Java, Python, R, MATLAB) Experience with TensorFlow, PyTorch, KGras, Kaldi, or Caffe is a plus Familiar with Linus Solid analytical skills and critical thinking Ability to work independently Team player Good communication skills for proposals, reports and publications ",Research Engineer /  Senior Research Engineer (Human Language Technology)  /  I2R (A*STAR),"SINGAPORE SCIENCE PARK II, 11 SCIENCE PARK ROAD 117685","$3,400to$6,800",Monthly,https://www.mycareersfuture.sg/job/e0bfd9aa4f4ca109011efd58de36a301
9,,TAIGER SINGAPORE PTE. LTD.,"SUMMARY TAIGER is seeking a Software QA Manager to work in our Singapore office. As a Software QA Manager, you will play a significant role in ensuring the quality and excellence of our internal software solutions and frameworks. You will be part of our development team where you will find bugs, and give developers and engineers valuable inputs from a testing perspective.   Here at TAIGER, we truly put our people first. We strongly believe in teamwork, and we encourage and trust our people to reach higher, learn more, and live up to their potential. TAIGER is recognized as Gartner Cool Vendor in 2017 and has garnered awards and recognition from Citi, Red Herring, and many others for its achievements in redefining the future of AI, and for its innovative capabilities in Knowledge Worker Automation in understanding meanings through semantics and natural language processing. TAIGER holds a number of patents in information access, and is a leading global education and training institution in artificial intelligence with its esteemed TAIGER ACADEMY.   JOB RESPONSIBILITIES   Excellent written and verbal communication skills   Ability to operate within major source code management solutions such as Git, SVN etc.   Creating tests at various levels, including unit, functional, integration, smoke, stress, and performance; understand the strengths and weaknesses of each level   Engage with project managers in the early stage of project planning phase to understand project scope and requirements   Plan and schedule test strategies for each SW project   Ability to work closely with SW Manager to resolve SW bugs and issues, and cross-functional teams to improve product qualities   Develop test cases including manual and automatic from project specifications   A passion for breaking things and creating great software to do so   Awareness of best practices in application development    ","PREREQUISITES   Degree in Computer Science or the equivalent   6 or more years of professional software testing experience   Experience using Linux environment and Python, Shell scripting etc.   Experience using Software Testing tools Selenium, ALM, QTP etc.      ",SOFTWARE QA MANAGER,26B TEMPLE STREET 058571,"$3,400to$6,800",,https://www.mycareersfuture.sg/job/67b85b768b9c3d230d2879c49c572665
