Company,JobTitle,SalaryLower,SalaryUpper,OfficeLocation,EmploymentType,Seniority,JobCategories,RoleDesc,Requirements,mcfURL
SPAN CONSULTANCY SERVICES PTE. LTD.,Business Analyst,"$5,800","$7,800Monthly","MOUNTBATTEN CENTRE, 231 MOUNTBATTEN ROAD 397999",Permanent,Senior Executive,Information Technology,"§  Should have extensive experience in Retail Lending Domain (Home Loans, Personal Loans / Credit Cards) §  Exposure in Compliance management – AML/KYC, Fraud §  Perform business analyst activities like requirements management, user workshops, Use case preparation/User story/test scenarios preparation §  Gathering business requirement, mapping the requirement with system, involve in Gap Analysis, building the solution to meet client expectations.  §  Documentation of Business Requirements and Functional Specifications §  Interact with the business users on the requirements Elaboration §  Demonstrate excellent communication skills including the ability to effectively communicate with internal and external customers §  Work closely with technical team to ensure the business requirements are correctly implemented §  Effective Facilitation skills to handle Business heads of various verticals §  Ability to use strong industry knowledge to relate to customer needs and dissolve customer concerns and high level of focus and attention to detail §  Keep eye on the scope and support Project Manager in controlling the scope §  Perform functional testing before system gets delivered to SIT §  Functional walkthrough to SIT and UAT Teams before the phase kick off §  Work as first point of contact for SIT and UAT team to get the system tested §  Conduct Training and Knowledge Sessions for customers and teams §  Work as an Individual contributor Role. Provide updates to the Project Manager",§  Min 5-8 years of experience §  Should possess good communication and problem solving skills. §  Excellent Client interaction and good English speaking skills preferred §  Should have Aptitude and Attitude of learning and mastering new domains and tools §  Should demonstrate Out of the Box thinking and willing to work in tight deadlines ,https://www.mycareersfuture.sg/job/5ef259bb8f59590fd9717b2ca533d897
FUTUREX TECHNOLOGIES PTE. LTD.,Business Analyst,"$5,000","$7,000Monthly","TRADEHUB 21, 18 BOON LAY WAY 609966",Contract,Professional,Information Technology," Should have extensive experience in Retail Lending Domain (Home Loans, Personal Loans / Credit Cards) Exposure in Compliance management – AML/KYC, Fraud Perform business analyst activities like requirements management, user workshops, Use case preparation/User story/test scenarios preparation Gathering business requirement, mapping the requirement with system, involve in Gap Analysis, building the solution to meet client expectations. Documentation of Business Requirements and Functional Specifications Interact with the business users on the requirements Elaboration Demonstrate excellent communication skills including the ability to effectively communicate with internal and external customers Work closely with technical team to ensure the business requirements are correctly implemented Effective Facilitation skills to handle Business heads of various verticals Ability to use strong industry knowledge to relate to customer needs and dissolve customer concerns and high level of focus and attention to detail Keep eye on the scope and support Project Manager in controlling the scope Perform functional testing before system gets delivered to SIT Functional walkthrough to SIT and UAT Teams before the phase kick off Work as first point of contact for SIT and UAT team to get the system tested Conduct Training and Knowledge Sessions for customers and teams Work as an Individual contributor Role. Provide updates to the Project Manager "," Requirement Document Functional Specifications Reviewed SIT Plan Role reports into the Project Manager Interacts with the Technical Leads, Developers for the project during the project lifecycle Interacts with the Senior client managers (Up to Business and IT Head) for status review meetings Professional needs to be a good team player Ability to work on multiple tasks concurrently Min 5-8 years of experience Should possess good communication and problem solving skills. Excellent Client interaction and good English speaking skills preferred Should have Aptitude and Attitude of learning and mastering new domains and tools Should demonstrate Out of the Box thinking and willing to work in tight deadlines Ability to work independently, self-motivated, and highly focused Ability to thrive in a changing environment Ability to work with multiple projects with multiple priorities Working experience in Corporate Lending, Private Banking is an added advantage Working in Agile Methodology is a plus ",https://www.mycareersfuture.sg/job/2d8dd9bde2152beab6a4a708c825ae83
CHUBB ASIA PACIFIC PTE. LTD.,Senior Business Analyst,"$108,000","$120,000Annually","CAPITAGREEN, 138 MARKET STREET 048946","Permanent, Contract",Executive,Professional Services,"Position Objective As Business Analyst, you will be responsible for performing business requirement gathering for a number of systems and business processes in the APAC region. You will be working directly with various business groups and IT teams within Chubb to ensure appropriate solutions are put in place to support the requirements of both internal and external users. You will be a self-starter who is good at multi-tasking across multiple workstreams within tight project timelines. Position Responsibilities  Facilitation of requirements gathering workshops Documentation of requirements in BRDs Supporting UAT through test case development and defect documentation and tracking Supporting user training initiatives Documentation of business cases for enhancements and change requests Document processes and procedures for handover to BAU support ","Required Skills and Abilities Comprehensive written and spoken English language skills Excellent PC Skills - MS-Office (Word, Excel and Microsoft Visio a minimum) Experience in general insurance industry would be an advantage Proven business analysis skills Proven business process re-engineering skills Ability to work with all levels of the business Ability to undertake travel and be flexible to work outside of normal office hours Desired Level of Qualification Education:                      Prefer 4 year college degree or equivalent Work Experience:           Prefer minimum 2 years Financial Services organization experience  ",https://www.mycareersfuture.sg/job/9251f72bf1e3255829d2af8be105c479
AXA INSURANCE PTE. LTD.,Senior Business Analyst (12 months Contract),"$4,000","$8,000Monthly","AXA TOWER, 8 SHENTON WAY 068811","Temporary, Contract, Full Time",Senior Executive,"Banking and Finance, Insurance","The AXA Group is a worldwide leader in insurance and asset management, with 166,000 employees serving 103 million clients in 64 countries. AXA is the number 1 Global Insurance Brand for the 9th year running, and is also the number 1 insurance company in the Top 50 Most Innovative Companies. Do you have the passion to drive projects to transformation projects and deliver superior customer experience for AXA?  Senior Business Analyst AXA’s Transformation Office leads and delivers key strategic programs and projects for AXA Singapore. You will join AXA’s Transformation Office and serve as a liaison between business users and vendors, working on and delivering transformation projects for AXA Singapore. A glimpse of your daily mission:  Facilitate the definition of user requirement with business, conduct performance gap analysis, prepare requirement package (e.g. Business Requirement Specification, Process Map, Product Roadmap, Requirement Traceability Matrix, etc.);   Understand and review To-Be processes, suggesting areas of improvements for As-Is processes;   Work with stakeholders on scope and requirements management;   Review requirements documented by vendors, ensuring all requirements are adequately defined in the Functional Design documents prior to sign-off from stakeholders;   Function as a Project Manager when required;   Lead business users in defining UAT test cases, ensuring all requirements are tested;   Facilitate/Conduct user training for all users, off-shore teams and other departments using the application; Ensure all deliverables by the vendor are on-time.  ","Successful qualifier of this mission:  University graduate preferably in Information Technology, Computer Science or related disciplines; 4-7 years of experience in Business requirement gathering & analysis, User Acceptance Test and User Management, with experience in General Insurance an added advantage; Project Management experience a plus; Strong analytical and problem solving skills are required; Organized, structured and able to do detailed work and documentation; Experienced in Vendor Management; Excellent communication and interpersonal skills; Fluency in verbal and written English communications essential; Working experience in using Visio and documenting As-Is/To-Be processes and Use Case model;   Be able to make occasional travel to other Asian countries when needs arise.   Please send us your updated resume to hr@axa.com.sg As we are continuously looking for great talents like you, do share AXA career opportunities with other talents! Link for our website is https://www.axa.com.sg/about-axa/careers To all recruitment agencies AXA ONLY accept resumes from appointed agency under our Preferred Supplier List. Please do not forward resumes to our jobs alias, AXA employees, any AXA entities or company location. AXA is not responsible for any fees related to unsolicited resumes.   ",https://www.mycareersfuture.sg/job/f5d8acc78b2ba614c188275b751228ad
APPLE SOUTH ASIA PTE. LTD.,"Senior Business Analyst, Asia Pacific Supply Chain","$5,000","$10,000Monthly",7 ANG MO KIO STREET 64 569086,Full Time,Executive,Logistics / Supply Chain,"The World Wide Supply Chain team is seeking to hire a Senior Business Analyst  to join the Asia Pacific team. The role will be varied, encompassing all aspects of Supply Chain Operations throughout the life cycle of our products. The position is based in Singapore and reports to the Asia Pacific Supply Chain Manager. The successful candidate will have high level analytical skills with the ability to dissect and analyse large amounts of data, present in an understandable format plus develop and present proposals for change. This role will require the person to work both on individual studies and as part of wider project teams delivering significant business change. The successful candidate will be expected to participate in: •  Identifying & analysing large amounts of information from multiple sources to identify profiles & trends. This could be APAC specific or it could be for any Apple geography or World Wide Analysis. • The person will form part of the Global Supply Chain Group and ensure they are representing the requirements of the Asia Pacific region in the Global Supply Chain meetings. •  A key part of their role will be to understand and leverage the Supply Chain concepts and opportunities being worked across the other regions with a view to applying these to the Asia Pacific region. Where appropriate they will project manage the implementation of these initiatives in their region working closely with the relevant Supply Chain and Business Process Re-engineering (BPR) teams. •  The person will drive innovative and challenging thinking in our approach to supply chain and will ensure appropriate benchmarking takes place from a regional Supply Chain perspective at least on an annual basis. •  Undertake analysis to support decision making on fulfillment decisions.  •  Evaluating current business processes and identify opportunities to improve.  •  Present comprehensive proposals for enhancements based on investigations & analysis undertaken  •  Work closely with Finance to focus on the identification of supply chain cost challenges and opportunities by product and by route to market.  •  Work closely with other operational business units such as Reseller Operations, SDM, Retail Fulfillment and Apple Fulfillment Operations to focus on the identification of supply chain cost challenges and opportunities. •  Developing processes focusing on cost, lead-time and customer supply chain performance expectations  •  Ability to maintain and develop relationships, within a project and team.","Technical person with the ability to quickly understand business processes and business drivers  Strong analytical and financial capabilities with experience in developing suites of reporting  Ability to manage complex projects in a matrix organization  A desire to operate hands on in the role and have excellent verbal, analytical, written, organizational and interpersonal skills  The appetite of a self-starter who is motivated and innovative, with a high tolerance of stress in managing multiple priorities and meeting all deadlines  Strong excel skills are essential with data base experience a distinct advantage  Experience with LTL, FTL, Parcel, Air and Ocean modes of transportation and providers of same, as well as global shipping standards and freight forwarding, would be a distinct advantage.  Supply Chain or Industrial Engineering Degree qualified with 5 years logistics, supply chain, fulfillment operations experience. Prior experience in fields that demand complex quantitative analysis such as finance or operations research is beneficial. ",https://www.mycareersfuture.sg/job/e9ca213819d8578c78bdbfad71d80f60
APPLE SOUTH ASIA PTE. LTD.,"Senior Business Analyst, Asia Pacific Supply Chain","$6,000","$12,000Monthly",7 ANG MO KIO STREET 64 569086,Full Time,Executive,Logistics / Supply Chain,"The World Wide Supply Chain team is seeking to hire a Senior Business Analyst  to join the Asia Pacific team. The role will be varied, encompassing all aspects of Supply Chain Operations throughout the life cycle of our products. The position is based in Singapore and reports to the Asia Pacific Supply Chain Manager. The successful candidate will have high level analytical skills with the ability to dissect and analyse large amounts of data, present in an understandable format plus develop and present proposals for change. This role will require the person to work both on individual studies and as part of wider project teams delivering significant business change. The successful candidate will be expected to participate in: •  Identifying & analysing large amounts of information from multiple sources to identify profiles & trends. This could be APAC specific or it could be for any Apple geography or World Wide Analysis. • The person will form part of the Global Supply Chain Group and ensure they are representing the requirements of the Asia Pacific region in the Global Supply Chain meetings. •  A key part of their role will be to understand and leverage the Supply Chain concepts and opportunities being worked across the other regions with a view to applying these to the Asia Pacific region. Where appropriate they will project manage the implementation of these initiatives in their region working closely with the relevant Supply Chain and Business Process Re-engineering (BPR) teams. •  The person will drive innovative and challenging thinking in our approach to supply chain and will ensure appropriate benchmarking takes place from a regional Supply Chain perspective at least on an annual basis. •  Undertake analysis to support decision making on fulfillment decisions.  •  Evaluating current business processes and identify opportunities to improve.  •  Present comprehensive proposals for enhancements based on investigations & analysis undertaken  •  Work closely with Finance to focus on the identification of supply chain cost challenges and opportunities by product and by route to market.  •  Work closely with other operational business units such as Reseller Operations, SDM, Retail Fulfillment and Apple Fulfillment Operations to focus on the identification of supply chain cost challenges and opportunities. •  Developing processes focusing on cost, lead-time and customer supply chain performance expectations  •  Ability to maintain and develop relationships, within a project and team.","Technical person with the ability to quickly understand business processes and business drivers  Strong analytical and financial capabilities with experience in developing suites of reporting  Ability to manage complex projects in a matrix organization  A desire to operate hands on in the role and have excellent verbal, analytical, written, organizational and interpersonal skills  The appetite of a self-starter who is motivated and innovative, with a high tolerance of stress in managing multiple priorities and meeting all deadlines  Strong excel skills are essential with data base experience a distinct advantage  Experience with LTL, FTL, Parcel, Air and Ocean modes of transportation and providers of same, as well as global shipping standards and freight forwarding, would be a distinct advantage.  Supply Chain or Industrial Engineering Degree qualified with 7 years logistics, supply chain, fulfillment operations experience. Prior experience in fields that demand complex quantitative analysis such as finance or operations research is beneficial. ",https://www.mycareersfuture.sg/job/e83b986ed40b2903ea4914108ddca23b
ABERDEEN ASSET MANAGEMENT ASIA LIMITED,Business Analyst,"$5,000","$5,000Monthly",no information,Permanent,Professional,Information Technology,"The Core Development and Deployment department of the Aberdeen Standard Investments Operations Division is searching for a business analyst to join the team. The successful candidate shall work in a standalone role supporting the distribution team in APAC. The role will require someone comfortable in a business facing role encompassing gathering, solution design, testing and implementation of solutions.  The candidate will be working on both business as usual change and project items supporting Distribution systems. The Distribution division includes business development staff, marketing and client services team encompassing the complete client lifecycle from prospects to clients.","The job requires the following skills experience:  At least 1 years’ experience in providing business analyst support in a global setting is essential A minimum of 1 years’ experience of supporting the following software is essential: 	 MS SQL Server 2008, 2012 Salesforce Enterprise Edition SOQL for Salesforce Apex Data Loader for Salesforce   Experience in writing SQL queries  Excellent written and spoken English is essential",https://www.mycareersfuture.sg/job/ad1c9a12d61883f7a5e34b2b4335e1ed
KERRY CONSULTING PTE. LTD.,Senior Business Analyst (FMCG),"$7,000","$8,000Monthly","SUNTEC TOWER FOUR, 6 TEMASEK BOULEVARD 038986",Permanent,Senior Executive,Accounting / Auditing / Taxation,"- Global player - Broad exposure - Excellent development opportunities  An employer of choice, this is a global player renowned for its award winning portfolio of products. As part of talent renewal and pipeline development, they are seeking a Business Analyst to join their team in Singapore.  This is a highly visible role where you will work closely with senior business leaders and provide decision support to drive strategic plans and business performance for the Singapore operations. You will be actively involved in management reporting and provide recommendations for new business initiatives. In addition, you will also work on inventory reports, liaise with external auditors and strive to improve operational efficiency.","You are a qualified CA with at least 5 years of experience in financial planning and analysis, ideally gained with blue chip multinationals. You have a strong grasp of accounting standards and taxation regulations and can interpret corporate policies, procedures and internal controls. To succeed in this role, you will be described as personable, pro-active and meticulous.  To apply, please submit your resume (in MS Word format) to Lee Hwee Ling at hl@kerryconsulting.com, quoting the job title and reference number HL 13662. We regret that only successfully shortlisted applicants will be contacted.  Licence No: 16S8060 Registration No: R1872254 Type of Work: Permanent Region: Singapore  ",https://www.mycareersfuture.sg/job/da65734a44e73d0194c647a86c416d35
ACCENTURE PTE LTD,IT Business Analyst,"$6,000","$12,000Monthly","RAFFLES CITY TOWER, 250 NORTH BRIDGE ROAD 179101",Full Time,Professional,Information Technology,"Join Accenture and help transform leading organizations and communities around the world.  The sheer scale of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an unparalleled opportunity to grow and advance.  Choose Accenture, and make delivering innovative work part of your extraordinary career.     Technology moves at a breakneck pace. Today’s new breakthrough is tomorrow’s obsolete solution. Are you just bystanders watching it all go by or are you leveraging your expertise to help clients innovate grow and improve their operations?   Accenture Technology delivers everything from point solutions for a single business function to large, long-term outsourcing services and complex systems integration installations spanning multiple businesses and functions. Join us and become an integral part of our experienced Technology team with the credibility, expertise and insight to help our clients become high-performing organizations.   Job Description  The IT Business Analyst will be the leading the functional analysis and testing of a portfolio of applications required by a banking or investment client. He/She will be primarily responsible for ensuring that all client services (issues, requests and queries) to the users are addressed within the expected turnaround time. He/She will also be responsible in managing required enhancements for the applications which includes activities on requirements gathering, design and testing. He/She will be directly liaising with various stakeholders in the client environment – end users, IT department, third party vendors.  Responsibilities  Identifying business/functional requirements based on your business domain experience, e.g. credit risk, payments, cash management Investigating functional and technical issues of the associated applications Working with developers to assess changes and implement these on time Performing system integration testing and coordinating user acceptance test with users Interacting with end users on clarifying requirements and issues in order to turn around within the expected service level agreement Providing solutions and options on operational issues encountered by end users ","Required Skills:  Work experience on Banking and Investment particularly payments, remittance, cash management, investment / trading and credit risk Proficient in Microsoft office tools: Visio, word and Power point presentations Work closely with business stakeholders on sounding the documents and making necessary changes Good English communication & writing skills Minimum 5 years experience in Business Analyst capacity Basic SQL or VB scripting Technical exposure to databases, ETL, and software development     All of our consulting professionals receive comprehensive training covering business acumen, technical and professional skills development.  You’ll also have opportunities to hone your functional skills and expertise in an area of specialization.  We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.   Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",https://www.mycareersfuture.sg/job/570779cbcc04bcfde0f8a126f8123feb
DBS BANK LTD.,"Analyst, Business Analyst (Payments Team), Consumer Banking Group (1800016K)","$2,550","$4,600Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",Full Time,Professional,Banking and Finance," Support Cashless & Payments team in consumer bank to identify opportunities to reduce cash and cheque handling, redirect payments through digital channel. Work closely with business, technology team and other partners to understand the business requirements, leverage on internal and external data to provide analytical insights supporting business strategies  Analyse customer behaviour and help design campaigns to drive customer engagement and marketing effectiveness. Work with various teams to design, develop and maintain product data mart as a single source data for MIS/analytics Design, develop, and provide timely dashboard/MIS reports to help the product managers and management to drive the business "," Minimum 5 years of experience  Non-technical Experience  Strong analytical skills, highly numerate and proactive  Good interpersonal and communication skill  Minimum degree qualification, advanced degree will be preferred  With at least 3-5 years of relevant working experience, preferably with data management and analytics in the banking industry Degree in Banking/Finance, Business, Mathematics/Statistics, Computer or related disciplines  Technical Experience  Proficient in SAS Programming, Enterprise Guide, macro and SQL Preferred knowledge in Business Intelligence tools and data mining  Experience to manipulate and handle large dataset ",https://www.mycareersfuture.sg/job/fcfc58f467d74ece7437cdc97107fdd0
